"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Feb 07 11:30:27 EET 2024","Wed Feb 07 11:30:28 EET 2024","195","ParallelTestsSuite","CreateAndEditPlayerTests","createplayer.CreatePlayerPositiveTests","createplayer.CreatePlayerPositiveTests","checkCreatePlayer","checkCreatePlayer",""
"failed","Wed Feb 07 11:30:28 EET 2024","Wed Feb 07 11:30:28 EET 2024","308","ParallelTestsSuite","DeletePlayerTests","deleteplayer.DeletePlayerPositiveTests","deleteplayer.DeletePlayerPositiveTests","checkPossibilityToGetDeletedUser","checkPossibilityToGetDeletedUser",""
"failed","Wed Feb 07 11:30:28 EET 2024","Wed Feb 07 11:30:28 EET 2024","87","ParallelTestsSuite","CreateAndEditPlayerTests","createplayer.CreatePlayerPositiveTests","createplayer.CreatePlayerPositiveTests","checkCreatePlayerWithAgeOnBoundOfPermissible","checkCreatePlayerWithAgeOnBoundOfPermissible",""
"passed","Wed Feb 07 11:30:28 EET 2024","Wed Feb 07 11:30:28 EET 2024","295","ParallelTestsSuite","CreateAndEditPlayerTests","editplayer.EditPlayerNegativeTests","editplayer.EditPlayerNegativeTests","checkEditPlayerLoginByExistedLogin","checkEditPlayerLoginByExistedLogin",""
"passed","Wed Feb 07 11:30:26 EET 2024","Wed Feb 07 11:30:28 EET 2024","1757","ParallelTestsSuite","DeletePlayerTests","deleteplayer.DeletePlayerNegativeTests","deleteplayer.DeletePlayerNegativeTests","checkPossibilityDeletePlayerThatWasDeletedBefore","checkPossibilityDeletePlayerThatWasDeletedBefore",""
"failed","Wed Feb 07 11:30:28 EET 2024","Wed Feb 07 11:30:28 EET 2024","106","ParallelTestsSuite","CreateAndEditPlayerTests","createplayer.CreatePlayerPositiveTests","createplayer.CreatePlayerPositiveTests","checkCreatePlayerWithAdminPermissions","checkCreatePlayerWithAdminPermissions",""
"failed","Wed Feb 07 11:30:26 EET 2024","Wed Feb 07 11:30:27 EET 2024","1415","ParallelTestsSuite","GetPlayerAndAllPlayersTests","getplayer.GetPlayerNegativeTests","getplayer.GetPlayerNegativeTests","checkGetPlayerByRandomId","checkGetPlayerByRandomId",""
"failed","Wed Feb 07 11:30:28 EET 2024","Wed Feb 07 11:30:28 EET 2024","170","ParallelTestsSuite","CreateAndEditPlayerTests","editplayer.EditPlayerNegativeTests","editplayer.EditPlayerNegativeTests","checkPossibilityEditPlayerId","checkPossibilityEditPlayerId",""
"passed","Wed Feb 07 11:30:29 EET 2024","Wed Feb 07 11:30:29 EET 2024","187","ParallelTestsSuite","GetPlayerAndAllPlayersTests","getallplayers.GetAllPlayersPositiveTests","getallplayers.GetAllPlayersPositiveTests","checkThatCreatedPlayerExistAtAllPlayersList","checkThatCreatedPlayerExistAtAllPlayersList",""
"passed","Wed Feb 07 11:30:26 EET 2024","Wed Feb 07 11:30:27 EET 2024","1388","ParallelTestsSuite","CreateAndEditPlayerTests","createplayer.CreatePlayerNegativeTests","createplayer.CreatePlayerNegativeTests","checkCreatePlayerWithNoPermissions","checkCreatePlayerWithNoPermissions",""
"failed","Wed Feb 07 11:30:28 EET 2024","Wed Feb 07 11:30:28 EET 2024","182","ParallelTestsSuite","CreateAndEditPlayerTests","createplayer.CreatePlayerPositiveTests","createplayer.CreatePlayerPositiveTests","checkCreatePlayerWithExistedLogin","checkCreatePlayerWithExistedLogin",""
"failed","Wed Feb 07 11:30:28 EET 2024","Wed Feb 07 11:30:29 EET 2024","192","ParallelTestsSuite","CreateAndEditPlayerTests","editplayer.EditPlayerPositiveTests","editplayer.EditPlayerPositiveTests","checkEditPlayerRole","checkEditPlayerRole",""
"passed","Wed Feb 07 11:30:28 EET 2024","Wed Feb 07 11:30:29 EET 2024","915","ParallelTestsSuite","GetPlayerAndAllPlayersTests","getallplayers.GetAllPlayersNegativeTests","getallplayers.GetAllPlayersNegativeTests","checkThatDeletedPlayerNotExistAtAllPlayersList","checkThatDeletedPlayerNotExistAtAllPlayersList",""
"passed","Wed Feb 07 11:30:27 EET 2024","Wed Feb 07 11:30:28 EET 2024","279","ParallelTestsSuite","GetPlayerAndAllPlayersTests","getplayer.GetPlayerPositiveTests","getplayer.GetPlayerPositiveTests","checkGetPlayer","checkGetPlayer",""
